id,symbol,market_id,category,name
128667072,GilyaSignatureWeapons,3226857216,Weapons,Gilya Signature Weapons
128667073,DeltaPhoenicisPalms,128045312,Chemicals,Delta Phoenicis Palms
128667074,ToxandjiVirocide,3230258688,Chemicals,Toxandji Virocide
128667075,XiheCompanions,3224133120,Technology,Xihe Biomorphic Companions
128667076,SanumaMEAT,3230331136,Foods,Sanuma Decorative Meat
128667077,EthgrezeTeaBuds,3229524992,Foods,Ethgreze Tea Buds
128667078,CeremonialHeikeTea,3227417856,Foods,Ceremonial Heike Tea
128667079,TanmarkTranquilTea,128057866,Foods,Tanmark Tranquil Tea
128667080,AZCancriFormula42,3228400128,Technology,AZ Cancri Formula 42
128667081,KamitraCigars,3225450752,Legal Drugs,Kamitra Cigars
128667082,RusaniOldSmokey,3229255680,Legal Drugs,Rusani Old Smokey
128667083,YasoKondiLeaf,3223088640,Legal Drugs,Yaso Kondi Leaf
128667084,ChateauDeAegaeon,3228416768,Legal Drugs,Chateau De Aegaeon
128667085,WatersOfShintara,128666762,Medicines,The Waters of Shintara
128667668,OphiuchiExinoArtefacts,3228939264,Consumer Items,Ophiuch Exino Artefacts
128667669,BakedGreebles,3229378560,Foods,Baked Greebles
128667670,CetiAepyornisEgg,3222560256,Foods,Aepyornis Egg
128667671,SaxonWine,3227986432,Legal Drugs,Saxon Wine
128667672,CentauriMegaGin,3228728832,Legal Drugs,Centauri Mega Gin
128667673,AnduligaFireWorks,3230243584,Consumer Items,Anduliga Fire Works
128667674,BankiAmphibiousLeather,3228346112,Textiles,Banki Amphibious Leather
128667675,CherbonesBloodCrystals,3229594624,Metals,Cherbones Blood Crystals
128667676,MotronaExperienceJelly,3229750528,Legal Drugs,Motrona Experience Jelly
128667677,GeawenDanceDust,3230954752,Legal Drugs,Geawen Dance Dust
128667678,GerasianGueuzeBeer,3228047360,Legal Drugs,Gerasian Gueuze Beer
128667679,HaidneBlackBrew,3226557696,Foods,Haiden Black Brew
128667680,HavasupaiDreamCatcher,3221438976,Consumer Items,Havasupai Dream Catcher
128667681,BurnhamBileDistillate,3230224384,Legal Drugs,Burnham Bile Distillate
128667682,HIPOrganophosphates,3227036160,Chemicals,HIP Organophosphates
128667683,JaradharrePuzzlebox,3230754816,Consumer Items,Jaradharre Puzzle Box
128667684,KorroKungPellets,3228726272,Chemicals,Koro Kung Pellets
128667685,LFTVoidExtractCoffee,3229028864,Foods,Void Extract Coffee
128667686,HonestyPills,3229561344,Medicines,Honesty Pills
128667687,NonEuclidianExotanks,3224135424,Machinery,Non Euclidian Exotanks
128667688,LTTHyperSweet,3224166400,Foods,LTT Hyper Sweet
128667689,MechucosHighTea,3228398848,Foods,Mechucos High Tea
128667690,MedbStarlube,3228762368,Chemicals,Medb Starlube
128667691,MokojingBeastFeast,3229612800,Foods,Mokojing Beast Feast
128667692,MukusubiiChitinOs,3221719296,Foods,Mukusubii Chitin-os
128667693,MulachiGiantFungus,3228892672,Foods,Mulachi Giant Fungus
128667694,NgadandariFireOpals,3226127872,Metals,Ngadandari Fire Opals
128667695,TiegfriesSynthSilk,3227726848,Textiles,Tiegfries Synth Silk
128667696,UzumokuLowGWings,3226474496,Consumer Items,Uzumoku Low-G Wings
128667697,VHerculisBodyRub,3228959232,Medicines,V Herculis Body Rub
128667698,WheemeteWheatCakes,3225032704,Foods,Wheemete Wheat Cakes
128667699,VegaSlimWeed,128149240,Medicines,Vega Slimweed
128667700,AltairianSkin,128151032,Consumer Items,Altairian Skin
128667701,PavonisEarGrubs,128117240,Legal Drugs,Pavonis Ear Grubs
128667702,JotunMookah,128078840,Textiles,Jotun Mookah
128667703,GiantVerrix,128121336,Machinery,Giant Verrix
128667704,IndiBourbon,128118520,Legal Drugs,Indi Bourbon
128667705,AroucaConventualSweets,128098040,Foods,Arouca Conventual Sweets
128667706,TauriChimes,128134648,Consumer Items,Tauri Chimes
128667707,ZeesszeAntGlue,128125432,Consumer Items,Zeessze Ant Grub Glue
128667708,PantaaPrayerSticks,3228824064,Medicines,Pantaa Prayer Sticks
128667709,FujinTea,128134392,Foods,Fujin Tea
128667710,ChameleonCloth,3223418880,Textiles,Chameleon Cloth
128667711,OrrerianViciousBrew,128166392,Foods,Orrerian Vicious Brew
128667712,UszaianTreeGrub,128164856,Foods,Uszaian Tree Grub
128667713,MomusBogSpaniel,128075256,Consumer Items,Momus Bog Spaniel
128667714,DisoMaCorn,128161016,Foods,Diso Ma Corn
128667715,LeestianEvilJuice,128639992,Legal Drugs,Leestian Evil Juice
128667716,BlueMilk,128639992,Foods,Azure Milk
128667717,AlienEggs,128164088,Consumer Items,Leathery Eggs
128667718,AlyaBodilySoap,3221638400,Medicines,Alya Body Soap
128667719,VidavantianLace,3231082240,Consumer Items,Vidavantian Lace
128667760,TransgenicOnionHead,128057866,Legal Drugs,Lucan Onionhead
128668017,JaquesQuinentianStill,128667761,Consumer Items,Jaques Quinentian Still
128668018,SoontillRelics,3225348096,Consumer Items,Soontill Relics
128671119,Advert1,3227172352,Consumer Items,Ultra-Compact Processor Prototypes
128672121,TheHuttonMug,3228728832,Consumer Items,The Hutton Mug
128672122,SothisCrystallineGold,128668557,Metals,Sothis Crystalline Gold
128672316,MasterChefs,128123640,Slavery,Master Chefs
128672431,PersonalGifts,128081912,Salvage,Festive Gifts
128672432,CrystallineSpheres,128059402,Salvage,Crystalline Spheres
128672812,OnionHeadA,3226977024,Legal Drugs,Onionhead Alpha Strain
128673069,OnionHeadB,3223027200,Legal Drugs,Onionhead Beta Strain
128682050,GalacticTravelGuide,128673074,Salvage,Galactic Travel Guide
128727921,AnimalEffigies,3228463360,Legal Drugs,Crom Silver Fesh
128732551,ShansCharisOrchid,128107768,Consumer Items,Shan's Charis Orchid
128748428,BuckyballBeerMats,128745551,Consumer Items,Buckyball Beer Mats
128793113,HarmaSilverSeaRum,3221575424,Legal Drugs,Harma Silver Sea Rum
128793114,PlatinumAloy,3223779840,Metals,Platinum Alloy
128913661,Nanomedicines,3226651904,Medicines,Nanomedicines
128922524,Duradrives,3223453184,Consumer Items,Duradrives
128958679,ApaVietii,128958681,Legal Drugs,Apa Vietii
129002574,ClassifiedExperimentalEquipment,128986325,Technology,Classified Experimental Equipment
