id,symbol,category,name
128672303,SyntheticReagents,Chemicals,Synthetic Reagents
128672304,NerveAgents,Chemicals,Nerve Agents
128672305,SurfaceStabilisers,Chemicals,Surface Stabilisers
128672306,BootlegLiquor,Legal Drugs,Bootleg Liquor
128672307,GeologicalEquipment,Machinery,Geological Equipment
128672308,ThermalCoolingUnits,Machinery,Thermal Cooling Units
128672309,BuildingFabricators,Machinery,Building Fabricators
128672310,MuTomImager,Technology,Muon Imager
128672311,StructuralRegulators,Technology,Structural Regulators
128672312,Landmines,Weapons,Landmines
128672313,SkimerComponents,Machinery,Skimmer Components
128672314,EvacuationShelter,Consumer Items,Evacuation Shelter
128672315,GeologicalSamples,Salvage,Geological Samples
128672701,MetaAlloys,Industrial Materials,Meta-Alloys
128672775,Taaffeite,Minerals,Taaffeite
128672776,Jadeite,Minerals,Jadeite
128672810,UnstableDataCore,Salvage,Unstable Data Core
128672811,DamagedEscapePod,Salvage,Damaged Escape Pod
128673845,Praseodymium,Metals,Praseodymium
128673846,Bromellite,Minerals,Bromellite
128673847,Samarium,Metals,Samarium
128673848,LowTemperatureDiamond,Minerals,Low Temperature Diamonds
128673850,HydrogenPeroxide,Chemicals,Hydrogen Peroxide
128673851,LiquidOxygen,Chemicals,Liquid oxygen
128673852,MethanolMonohydrateCrystals,Minerals,Methanol Monohydrate Crystals
128673853,LithiumHydroxide,Minerals,Lithium Hydroxide
128673854,MethaneClathrate,Minerals,Methane Clathrate
128673855,InsulatingMembrane,Industrial Materials,Insulating Membrane
128673856,CMMComposite,Industrial Materials,CMM Composite
128673857,CoolingHoses,Industrial Materials,Micro-weave Cooling Hoses
128673858,NeofabricInsulation,Industrial Materials,Neofabric Insulation
128673859,ArticulationMotors,Machinery,Articulation Motors
128673860,HNShockMount,Machinery,HN Shock Mount
128673861,EmergencyPowerCells,Machinery,Emergency Power Cells
128673862,PowerConverter,Machinery,Power Converter
128673863,PowerGridAssembly,Machinery,Energy Grid Assembly
128673864,PowerTransferConduits,Machinery,Power Transfer Bus
128673865,RadiationBaffle,Machinery,Radiation Baffle
128673866,ExhaustManifold,Machinery,Exhaust Manifold
128673867,ReinforcedMountingPlate,Machinery,Reinforced Mounting Plate
128673868,HeatsinkInterlink,Machinery,Heatsink Interlink
128673869,MagneticEmitterCoil,Machinery,Magnetic Emitter Coil
128673870,ModularTerminals,Machinery,Modular Terminals
128673871,Nanobreakers,Technology,Nanobreakers
128673872,TelemetrySuite,Technology,Telemetry Suite
128673873,MicroControllers,Technology,Micro Controllers
128673874,IonDistributor,Machinery,Ion Distributor
128673875,DiagnosticSensor,Technology,Hardware Diagnostic Sensor
128673876,UnknownArtifact2,Salvage,Thargoid Probe
128682044,ConductiveFabrics,Textiles,Conductive Fabrics
128682045,MilitaryGradeFabrics,Textiles,Military Grade Fabrics
128682046,AdvancedMedicines,Medicines,Advanced Medicines
128682047,MedicalDiagnosticEquipment,Technology,Medical Diagnostic Equipment
128682048,SurvivalEquipment,Consumer Items,Survival Equipment
128682049,DataCore,Salvage,Data Core
128682051,MysteriousIdol,Salvage,Mysterious Idol
128682052,ProhibitedResearchMaterials,Salvage,Prohibited Research Materials
128682053,AntimatterContainmentUnit,Salvage,Antimatter Containment Unit
128682054,SpacePioneerRelics,Salvage,Space Pioneer Relics
128682055,FossilRemnants,Salvage,Fossil Remnants
128732183,AncientRelic,Salvage,Guardian Relic
128732184,AncientOrb,Salvage,Guardian Orb
128732185,AncientCasket,Salvage,Guardian Casket
128732186,AncientTablet,Salvage,Guardian Tablet
128732187,AncientUrn,Salvage,Guardian Urn
128732188,AncientTotem,Salvage,Guardian Totem
128737287,UnknownResin,Salvage,Thargoid Resin
128737288,UnknownBiologicalMatter,Salvage,Thargoid Biological Matter
128737289,UnknownTechnologySamples,Salvage,Thargoid Technology Samples
128740752,UnknownArtifact3,Salvage,Thargoid Link
128793127,ThargoidHeart,Salvage,Thargoid Heart
128793128,ThargoidTissueSampleType1,Salvage,Thargoid Cyclops Tissue Sample
128793129,ThargoidTissueSampleType2,Salvage,Thargoid Basilisk Tissue Sample
128793130,ThargoidTissueSampleType3,Salvage,Thargoid Medusa Tissue Sample
128824468,ThargoidScoutTissueSample,Salvage,Thargoid Scout Tissue Sample
128888499,AncientKey,Salvage,Ancient Key
128902652,ThargoidTissueSampleType4,Salvage,Thargoid Hydra Tissue Sample
128922517,M_TissueSample_Fluid,Salvage,Mollusc Fluid
128922518,M_TissueSample_Soft,Salvage,Mollusc Soft Tissue
128922519,M_TissueSample_Nerves,Salvage,Mollusc Brain Tissue
128922520,S_TissueSample_Cells,Salvage,Pod Core Tissue
128922521,S_TissueSample_Surface,Salvage,Pod Dead Tissue
128922522,S_TissueSample_Core,Salvage,Pod Surface Tissue
128922523,P_ParticulateSample,Salvage,Anomaly Particles
128922781,S9_TissueSample_Shell,Salvage,Pod Tissue
128922782,M3_TissueSample_Membrane,Salvage,Mollusc Membrane
128922783,M3_TissueSample_Mycelium,Salvage,Mollusc Mycelium
128922784,M3_TissueSample_Spores,Salvage,Mollusc Spores
128922785,S6_TissueSample_Mesoglea,Salvage,Pod Mesoglea
128922786,S6_TissueSample_Cells,Salvage,Pod Outer Tissue
128922787,S6_TissueSample_Coenosarc,Salvage,Pod Shell Tissue
128924325,Rhodplumsite,Minerals,Rhodplumsite
128924326,Serendibite,Minerals,Serendibite
128924327,Monazite,Minerals,Monazite
128924328,Musgravite,Minerals,Musgravite
128924329,Benitoite,Minerals,Benitoite
128924330,Grandidierite,Minerals,Grandidierite
128924331,Alexandrite,Minerals,Alexandrite
128924332,Opal,Minerals,Void Opals
128924333,RockforthFertiliser,Chemicals,Rockforth Fertiliser
128924334,AgronomicTreatment,Chemicals,Agronomic Treatment
128961249,Tritium,Chemicals,Tritium
128983059,OnionHeadC,Legal Drugs,Onionhead Gamma Strain
